OBJECTID,STATE,NAME,LAT,LON,Date01Start,Date50Start,Date100Start,Dat50End,Date01End,Duration,x,y
112,AR,Pangburn,35.426108,-91.839411,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:56,4/8/24 18:28,210,-91.839411,35.426108
113,AR,Augusta,35.28655,-91.36086,4/9/24 0:13,4/8/24 17:21,4/8/24 17:54,4/8/24 17:55,4/8/24 18:28,90,-91.36086,35.28655
114,AR,Paragould,36.052289,-90.510464,4/9/24 0:13,4/8/24 17:23,4/8/24 17:55,4/8/24 17:58,4/8/24 18:31,150,-90.510464,36.052289
115,AR,Austin,35.005912,-91.989609,4/9/24 0:13,4/8/24 17:19,4/8/24 17:52,4/8/24 17:55,4/8/24 18:27,150,-91.989609,35.005912
116,AR,Paris,35.290756,-93.734228,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:52,4/8/24 18:25,180,-93.734228,35.290756
117,AR,Avilla,34.694843,-92.586141,4/9/24 0:13,4/8/24 17:18,4/8/24 17:50,4/8/24 17:53,4/8/24 18:26,180,-92.586141,34.694843
118,AR,Bald Knob,35.312539,-91.571253,4/9/24 0:13,4/8/24 17:21,4/8/24 17:53,4/8/24 17:56,4/8/24 18:28,150,-91.571253,35.312539
119,AR,Barling,35.331286,-94.275195,4/9/24 0:13,4/8/24 17:16,4/8/24 17:49,4/8/24 17:50,4/8/24 18:24,30,-94.275195,35.331286
120,AR,Peach Orchard,36.281229,-90.660774,4/9/24 0:13,4/8/24 17:23,4/8/24 17:55,4/8/24 17:59,4/8/24 18:31,210,-90.660774,36.281229
121,AR,Pearcy,34.435455,-93.288217,4/9/24 0:13,4/8/24 17:16,4/8/24 17:48,4/8/24 17:52,4/8/24 18:24,210,-93.288217,34.435455
122,AR,Batesville,35.768572,-91.622652,4/9/24 0:13,4/8/24 17:21,4/8/24 17:53,4/8/24 17:57,4/8/24 18:29,240,-91.622652,35.768572
123,AR,Bauxite,34.557736,-92.50209,4/9/24 0:13,4/8/24 17:18,4/8/24 17:51,4/8/24 17:53,4/8/24 18:26,120,-92.50209,34.557736
124,AR,Pencil Bluff,34.630384,-93.735033,4/9/24 0:13,4/8/24 17:16,4/8/24 17:48,4/8/24 17:52,4/8/24 18:24,240,-93.735033,34.630384
125,AR,Perla,34.364755,-92.776228,4/9/24 0:13,4/8/24 17:17,4/8/24 17:50,4/8/24 17:52,4/8/24 18:25,120,-92.776228,34.364755
126,AR,Perry,35.046221,-92.79441,4/9/24 0:13,4/8/24 17:18,4/8/24 17:50,4/8/24 17:54,4/8/24 18:26,240,-92.79441,35.046221
127,AR,Perrytown,33.697141,-93.532407,4/9/24 0:13,4/8/24 17:15,4/8/24 17:48,4/8/24 17:50,4/8/24 18:23,60,-93.532407,33.697141
128,AR,Beebe,35.072433,-91.901059,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:55,4/8/24 18:27,150,-91.901059,35.072433
129,AR,Perryville,35.012,-92.802938,4/9/24 0:13,4/8/24 17:18,4/8/24 17:50,4/8/24 17:54,4/8/24 18:26,240,-92.802938,35.012
130,AR,Bee Branch,35.462622,-92.401023,4/9/24 0:13,4/8/24 17:19,4/8/24 17:51,4/8/24 17:55,4/8/24 18:27,240,-92.401023,35.462622
131,AR,Piggott,36.387191,-90.198944,4/9/24 0:13,4/8/24 17:24,4/8/24 17:56,4/8/24 17:59,4/8/24 18:31,180,-90.198944,36.387191
132,AR,Beedeville,35.429169,-91.110738,4/9/24 0:13,4/8/24 17:22,4/8/24 17:54,4/8/24 17:56,4/8/24 18:29,60,-91.110738,35.429169
133,AR,Pindall,36.063663,-92.862158,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:55,4/8/24 18:27,150,-92.862158,36.063663
134,AR,Beirne,33.888208,-93.206223,4/9/24 0:13,4/8/24 17:16,4/8/24 17:49,4/8/24 17:50,4/8/24 18:24,30,-93.206223,33.888208
135,AR,Pineville,36.161145,-92.106471,4/9/24 0:13,4/8/24 17:21,4/8/24 17:53,4/8/24 17:56,4/8/24 18:28,210,-92.106471,36.161145
136,AR,Bellefonte,36.199864,-93.047039,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:53,4/8/24 18:27,60,-93.047039,36.199864
137,AR,Piney,34.502914,-93.144427,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:53,4/8/24 18:25,210,-93.144427,34.502914
138,AR,Belleville,35.09153,-93.445774,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:53,4/8/24 18:25,240,-93.445774,35.09153
139,AR,Plainview,34.989874,-93.297948,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:53,4/8/24 18:25,240,-93.297948,34.989874
140,AR,Ben Lomond,33.829113,-94.123319,4/9/24 0:13,4/8/24 17:14,4/8/24 17:46,4/8/24 17:50,4/8/24 18:22,210,-94.123319,33.829113
141,AR,Pleasant Grove,35.820465,-91.906976,4/9/24 0:13,4/8/24 17:21,4/8/24 17:52,4/8/24 17:56,4/8/24 18:28,240,-91.906976,35.820465
142,AR,Benton,34.577424,-92.572583,4/9/24 0:13,4/8/24 17:18,4/8/24 17:50,4/8/24 17:53,4/8/24 18:26,150,-92.572583,34.577424
143,AR,Pleasant Plains,35.55453,-91.627246,4/9/24 0:13,4/8/24 17:21,4/8/24 17:53,4/8/24 17:56,4/8/24 18:28,210,-91.627246,35.55453
144,AR,Caddo Gap,34.402494,-93.617881,4/9/24 0:13,4/8/24 17:16,4/8/24 17:48,4/8/24 17:52,4/8/24 18:24,240,-93.617881,34.402494
145,AR,Plumerville,35.159377,-92.643059,4/9/24 0:13,4/8/24 17:19,4/8/24 17:50,4/8/24 17:54,4/8/24 18:26,240,-92.643059,35.159377
